filename,label,session,onset_time,dt_prev_ms,prev_label
20260815_190504__0485__1,1,20260815_190504,116.7425,484.72,k
20260815_190504__0486__0,0,20260815_190504,116.9953,252.83,1
20260815_190504__0487__p,p,20260815_190504,117.2972,301.86,0
20260815_190504__0488__p,p,20260815_190504,117.5689,271.72,p
20260815_190504__0489__p,p,20260815_190504,117.8143,245.37,p
20260815_190504__0490__q,q,20260815_190504,118.0466,232.38,p
20260815_190504__0491__o,o,20260815_190504,118.2756,228.96,q
20260815_190504__0492__w,w,20260815_190504,118.4845,208.87,o
20260815_190504__0493__i,i,20260815_190504,118.7092,224.69,w
20260815_190504__0494__u,u,20260815_190504,118.9662,257.01,i
20260815_190504__0495__y,y,20260815_190504,119.222,255.78,u
20260815_190504__0496__r,r,20260815_190504,119.4425,220.59,y
20260815_190504__0497__t,t,20260815_190504,119.8779,435.33,r
20260815_190504__0498__y,y,20260815_190504,120.0961,218.25,t
20260815_190504__0499__y,y,20260815_190504,120.338,241.84,y
20260815_190504__0500__y,y,20260815_190504,120.6208,282.83,y
20260815_190504__0501__q,q,20260815_190504,121.1666,545.83,y
20260815_190504__0502__y,y,20260815_190504,121.4141,247.53,q
20260815_190504__0503__h,h,20260815_190504,121.8901,475.96,y
20260815_190504__0504__s,s,20260815_190504,122.0597,169.59,h
20260815_190504__0505__j,j,20260815_190504,122.2693,209.55,s
20260815_190504__0506__d,d,20260815_190504,122.5141,244.88,j
20260815_190504__0507__g,g,20260815_190504,123.0443,530.18,d
20260815_190504__0508__h,h,20260815_190504,123.2646,220.29,g
20260815_190504__0509__g,g,20260815_190504,123.4303,165.71,h
20260815_190504__0510__h,h,20260815_190504,123.7035,273.15,g
20260815_190504__0511__m,m,20260815_190504,124.082,378.53,h
20260815_190504__0512__d,d,20260815_190504,124.2882,206.21,m
20260815_190504__0513__n,n,20260815_190504,124.5148,226.55,d
20260815_190504__0514__1,1,20260815_190504,124.8307,315.9,n
20260815_190504__0515__0,0,20260815_190504,125.0622,231.59,1
20260815_190504__0516__2,2,20260815_190504,125.4259,363.7,0
20260815_190504__0517__9,9,20260815_190504,125.7095,283.56,2
20260815_190504__0518__4,4,20260815_190504,125.9626,253.06,9
20260815_190504__0519__8,8,20260815_190504,126.2213,258.78,4
20260815_190504__0520__7,7,20260815_190504,126.5037,282.4,8
20260815_190504__0521__5,5,20260815_190504,126.7671,263.31,7
20260815_190504__0522__6,6,20260815_190504,127.0152,248.19,5
20260815_190504__0523__t,t,20260815_190504,127.27,254.78,6
20260815_190504__0524__r,r,20260815_190504,127.5078,237.76,t
20260815_190504__0525__y,y,20260815_190504,127.7465,238.73,r
20260815_190504__0526__u,u,20260815_190504,128.0417,295.24,y
20260815_190504__0527__e,e,20260815_190504,128.2677,225.94,u
20260815_190504__0528__i,i,20260815_190504,128.5309,263.24,e
20260815_190504__0529__q,q,20260815_190504,128.7895,258.59,i
20260815_190504__0530__p,p,20260815_190504,129.0375,248,q
20260815_190504__0531__w,w,20260815_190504,129.2181,180.54,p
20260815_190504__0532__o,o,20260815_190504,129.4785,260.43,w
20260815_190504__0533__e,e,20260815_190504,129.7,221.54,o
20260815_190504__0534__i,i,20260815_190504,129.9222,222.2,e
20260815_190504__0535__r,r,20260815_190504,130.0676,145.4,i
20260815_190504__0536__u,u,20260815_190504,130.2808,213.2,r
20260815_190504__0537__junk,junk,20260815_190504,130.5396,,
20260815_190504__0538__junk,junk,20260815_190504,131.0979,,
20260815_210015__0000__junk,junk,20260815_210015,0.0024,,
20260815_210015__0001__q,q,20260815_210015,1.8285,,
20260815_210015__0002__w,w,20260815_210015,2.376,547.51,q
20260815_210015__0003___,_,20260815_210015,2.5496,173.61,w
20260815_210015__0004__q,q,20260815_210015,2.9196,370.02,_
20260815_210015__0005__p,p,20260815_210015,3.1052,185.58,q
20260815_210015__0006__w,w,20260815_210015,3.2862,181.04,p
20260815_210015__0007__o,o,20260815_210015,3.4198,133.51,w
20260815_210015__0008___,_,20260815_210015,3.878,458.28,o
20260815_210015__0009__q,q,20260815_210015,4.3944,516.42,_
20260815_210015__0010__p,p,20260815_210015,4.5279,133.45,q
20260815_210015__0011__w,w,20260815_210015,4.718,190.09,p
20260815_210015__0012__o,o,20260815_210015,4.9216,203.58,w
20260815_210015__0013__i,i,20260815_210015,5.3036,382.04,o
20260815_210015__0014__u,u,20260815_210015,5.4902,186.58,i
20260815_210015__0015___,_,20260815_210015,5.7667,276.55,u
20260815_210015__0016__h,h,20260815_210015,6.199,432.29,_
20260815_210015__0017__d,d,20260815_210015,6.4792,280.16,h
20260815_210015__0018__j,j,20260815_210015,6.6559,176.71,d
20260815_210015__0019__f,f,20260815_210015,6.7941,138.25,j
20260815_210015__0020__l,l,20260815_210015,7.0744,280.25,f
20260815_210015__0021__d,d,20260815_210015,8.0861,1011.7,l
20260815_210015__0022__k,k,20260815_210015,8.2709,184.83,d
20260815_210015__0023__f,f,20260815_210015,8.4281,157.17,k
20260815_210015__0024__j,j,20260815_210015,8.6337,205.56,f
20260815_210015__0025__h,h,20260815_210015,9.0053,371.68,j
20260815_210015__0026___,_,20260815_210015,9.3776,372.31,h
20260815_210015__0027__b,b,20260815_210015,9.789,411.34,_
20260815_210015__0028__v,v,20260815_210015,10.0427,253.67,b
20260815_210015__0029__n,n,20260815_210015,10.2967,254.01,v
20260815_210015__0030__n,n,20260815_210015,10.7885,491.81,n
20260815_210015__0031___,_,20260815_210015,11.0309,242.38,n
20260815_210015__0032__j,j,20260815_210015,11.4563,425.46,_
20260815_210015__0033__s,s,20260815_210015,11.629,172.68,j
20260815_210015__0034__h,h,20260815_210015,11.8667,237.66,s
20260815_210015__0035__d,d,20260815_210015,12.0358,169.12,h
20260815_210015__0036__g,g,20260815_210015,12.2112,175.4,d
20260815_210015__0037__f,f,20260815_210015,12.3409,129.73,g
20260815_210015__0038__b,b,20260815_210015,12.5942,253.31,f
20260815_210015__0039__m,m,20260815_210015,13.4952,900.98,b
20260815_210015__0040__n,n,20260815_210015,14.0662,571.02,m
20260815_210015__0041__l,l,20260815_210015,14.6663,600.05,n
20260815_210015__0042__a,a,20260815_210015,14.8941,227.87,l
20260815_210015__0043__k,k,20260815_210015,15.1607,266.6,a
20260815_210015__0044__s,s,20260815_210015,15.3623,201.56,k
20260815_210015__0045__p,p,20260815_210015,15.5793,217.01,s
20260815_210015__0046__q,q,20260815_210015,15.81,230.75,p
20260815_210015__0047__o,o,20260815_210015,16.0736,263.54,q
20260815_210015__0048__w,w,20260815_210015,16.3157,242.09,o
20260815_210015__0049__i,i,20260815_210015,16.54,224.29,w
20260815_210015__0050__u,u,20260815_210015,16.7553,215.33,i
20260815_210015__0051__junk,junk,20260815_210015,17.0592,,
20260815_210015__0052__1,1,20260815_210015,17.2278,472.49,u
20260815_210015__0053__0,0,20260815_210015,17.3548,127.05,1
20260815_210015__0054__2,2,20260815_210015,17.652,297.12,0
20260815_210015__0055__9,9,20260815_210015,17.8958,243.88,2
20260815_210015__0056__8,8,20260815_210015,18.1432,247.32,9
20260815_210015__0057__7,7,20260815_210015,18.4067,263.58,8
20260815_210015__0058__6,6,20260815_210015,18.603,196.24,7
20260815_210015__0059__5,5,20260815_210015,18.8241,221.11,6
20260815_210015__0060__6,6,20260815_210015,19.0809,256.85,5
20260815_210015__0061__4,4,20260815_210015,19.2553,174.4,6
20260815_210015__0062__7,7,20260815_210015,19.5336,278.28,4
20260815_210015__0063__3,3,20260815_210015,19.7929,259.34,7
20260815_210015__0064__8,8,20260815_210015,20.0546,261.66,3
20260815_210015__0065__1,1,20260815_210015,20.3286,274.04,8
20260815_210015__0066__junk,junk,20260815_210015,20.454,,
20260815_210015__0067__0,0,20260815_210015,20.5886,259.98,1
20260815_210015__0068__2,2,20260815_210015,20.7938,205.17,0
20260815_210015__0069__9,9,20260815_210015,21.0444,250.63,2
20260815_210015__0070__8,8,20260815_210015,21.2918,247.39,9
20260815_210015__0071__7,7,20260815_210015,21.5279,236.1,8
20260815_210015__0072__6,6,20260815_210015,21.7519,223.97,7
20260815_210015__0073__5,5,20260815_210015,21.9766,224.69,6
20260815_210015__0074__t,t,20260815_210015,22.2344,257.87,5
20260815_210015__0075__r,r,20260815_210015,22.4438,209.39,t
20260815_210015__0076__y,y,20260815_210015,22.6505,206.62,r
20260815_210015__0077__q,q,20260815_210015,23.2555,605.03,y
20260815_210015__0078__p,p,20260815_210015,23.4906,235.12,q
20260815_210015__0079__w,w,20260815_210015,23.6875,196.85,p
20260815_210015__0080__o,o,20260815_210015,23.893,205.58,w
20260815_210015__0081__i,i,20260815_210015,24.1299,236.83,o
20260815_210015__0082__u,u,20260815_210015,24.3278,197.96,i
20260815_210015__0083__y,y,20260815_210015,24.5316,203.81,u
20260815_210015__0084__h,h,20260815_210015,24.749,217.39,y
20260815_210015__0085__g,g,20260815_210015,24.9768,227.73,h
20260815_210015__0086__b,b,20260815_210015,25.2837,306.92,g
20260815_210015__0087__n,n,20260815_210015,25.5637,280.05,b
20260815_210015__0088__c,c,20260815_210015,25.828,264.33,n
20260815_210015__0089__m,m,20260815_210015,26.1398,311.72,c
20260815_210015__0090__z,z,20260815_210015,26.4165,276.73,m
20260815_210015__0091__n,n,20260815_210015,26.7046,288.1,z
20260815_210015__0092__x,x,20260815_210015,26.9783,273.7,n
20260815_210015__0093__b,b,20260815_210015,27.2132,234.9,x
20260815_210015__0094__c,c,20260815_210015,27.4716,258.37,b
20260815_210015__0095__v,v,20260815_210015,27.743,271.47,c
20260815_210015__0096___,_,20260815_210015,28.0087,265.65,v
20260815_210015__0097__b,b,20260815_210015,28.3007,292.02,_
20260815_210015__0098__v,v,20260815_210015,28.5292,228.46,b
20260815_210015__0099__n,n,20260815_210015,28.7443,215.1,v
20260815_210015__0100___,_,20260815_210015,28.9752,230.91,n
20260815_210015__0101__m,m,20260815_210015,29.4854,510.27,_
20260815_210015__0102__a,a,20260815_210015,29.7042,218.8,m
20260815_210015__0103__n,n,20260815_210015,29.9446,240.36,a
20260815_210015__0104___,_,20260815_210015,30.4179,473.27,n
20260815_210015__0105___,_,20260815_210015,30.7017,283.88,_
20260815_210015__0106__n,n,20260815_210015,31.0492,347.46,_
20260815_210015__0107__j,j,20260815_210015,31.3535,304.29,n
20260815_210015__0108__k,k,20260815_210015,31.9292,575.67,j
20260815_210015__0109__d,d,20260815_210015,32.1744,245.24,k
20260815_210015__0110__l,l,20260815_210015,32.4302,255.76,d
20260815_210015__0111__f,f,20260815_210015,32.5792,149.07,l
20260815_210015__0112__k,k,20260815_210015,32.866,286.8,f
20260815_210015__0113___,_,20260815_210015,33.2578,391.75,k
20260815_210015__0114__n,n,20260815_210015,33.511,253.2,_
20260815_210015__0115__g,g,20260815_210015,33.8314,320.41,n
20260815_210015__0116__j,j,20260815_210015,34.09,258.62,g
20260815_210015__0117__h,h,20260815_210015,34.2826,192.59,j
20260815_210015__0118__v,v,20260815_210015,34.4994,216.78,h
20260815_210015__0119__b,b,20260815_210015,34.7503,250.95,v
20260815_210015__0120___,_,20260815_210015,34.9993,248.93,b
20260815_210015__0121__n,n,20260815_210015,35.2704,271.11,_
20260815_210015__0122__m,m,20260815_210015,35.5494,279.07,n
20260815_210015__0123__c,c,20260815_210015,35.792,242.61,m
20260815_210015__0124__n,n,20260815_210015,36.0274,235.4,c
20260815_210015__0125__b,b,20260815_210015,36.2298,202.36,n
20260815_210015__0126___,_,20260815_210015,36.504,274.22,b
20260815_210015__0127__z,z,20260815_210015,36.7607,256.64,_
20260815_210015__0128__b,b,20260815_210015,36.9938,233.11,z
20260815_210015__0129__x,x,20260815_210015,37.2486,254.81,b
20260815_210015__0130__n,n,20260815_210015,37.488,239.41,x
20260815_210015__0131__l,l,20260815_210015,38.3323,844.33,n
20260815_210015__0132__s,s,20260815_210015,38.5312,198.89,l
20260815_210015__0133__k,k,20260815_210015,38.7597,228.48,s
20260815_210015__0134__j,j,20260815_210015,39.0079,248.23,k
20260815_210015__0135__g,g,20260815_210015,39.2239,216.03,j
20260815_210015__0136__h,h,20260815_210015,39.436,212.02,g
20260815_210015__0137__b,b,20260815_210015,39.6634,227.41,h
20260815_210015__0138__v,v,20260815_210015,39.8813,217.89,b
20260815_210015__0139___,_,20260815_210015,40.1088,227.51,v
20260815_210015__0140__n,n,20260815_210015,40.3412,232.43,_
20260815_210015__0141__c,c,20260815_210015,40.5834,242.22,n
20260815_210015__0142__m,m,20260815_210015,40.8343,250.88,c
20260815_210015__0143__z,z,20260815_210015,41.0474,213.11,m
20260815_210015__0144__n,n,20260815_210015,41.2759,228.48,z
20260815_210015__0145__x,x,20260815_210015,41.4647,188.78,n
20260815_210015__0146__l,l,20260815_210015,41.7456,280.98,x
20260815_210015__0147__a,a,20260815_210015,41.969,223.33,l
20260815_210015__0148__k,k,20260815_210015,42.2086,239.59,a
20260815_210015__0149__s,s,20260815_210015,42.3986,190.02,k
20260815_210015__0150__j,j,20260815_210015,42.6478,249.21,s
20260815_210015__0151__h,h,20260815_210015,42.9498,302.02,j
20260815_210015__0152__g,g,20260815_210015,43.1539,204.1,h
20260815_210015__0153__b,b,20260815_210015,43.3967,242.81,g
20260815_210015__0154___,_,20260815_210015,43.6566,259.84,b
20260815_210015__0155__n,n,20260815_210015,43.8906,234.04,_
20260815_210015__0156__v,v,20260815_210015,44.1093,218.68,n
20260815_210015__0157__m,m,20260815_210015,44.3481,238.84,v
20260815_210015__0158__a,a,20260815_210015,44.5584,210.23,m
20260815_210015__0159__l,l,20260815_210015,44.7318,173.45,a
20260815_210015__0160__s,s,20260815_210015,44.9173,185.46,l
20260815_210015__0161__k,k,20260815_210015,45.1316,214.33,s
20260815_210015__0162__j,j,20260815_210015,45.3922,260.61,k
20260815_210015__0163__h,h,20260815_210015,45.6067,214.49,j
20260815_210015__0164__g,g,20260815_210015,45.8505,243.74,h
20260815_210015__0165__b,b,20260815_210015,46.0912,240.77,g
20260815_210015__0166___,_,20260815_210015,46.3364,245.22,b
20260815_210015__0167__b,b,20260815_210015,46.6165,280.02,_
20260815_210015__0168__n,n,20260815_210015,46.8637,247.28,b
20260815_210015__0169__v,v,20260815_210015,47.1021,238.34,n
20260815_210015__0170__m,m,20260815_210015,47.3113,209.25,v
20260815_210015__0171__n,n,20260815_210015,47.8971,585.8,m
20260815_210015__0172__x,x,20260815_210015,48.0485,151.41,n
20260815_210015__0173__b,b,20260815_210015,48.2681,219.57,x
20260815_210015__0174__v,v,20260815_210015,48.6775,409.41,b
20260815_210015__0175__junk,junk,20260815_210015,48.8716,,
20260815_210015__0176__h,h,20260815_210015,49.1258,448.25,v
20260815_210015__0177__j,j,20260815_210015,49.5213,395.49,h
20260815_210015__0178__s,s,20260815_210015,49.7117,190.48,j
20260815_210015__0179__k,k,20260815_210015,49.9433,231.54,s
20260815_210015__0180__junk,junk,20260815_210015,50.8173,,
20260815_210015__0181__j,j,20260815_210015,50.9457,1002.38,k
20260815_210015__0182__e,e,20260815_210015,51.1471,201.38,j
20260815_210015__0183___,_,20260815_210015,51.2939,146.83,e
20260815_210015__0184__junk,junk,20260815_210015,51.516,,
20260815_210015__0185__junk,junk,20260815_210015,52.2794,,
20260815_210015__0186__q,q,20260815_210015,52.5981,1304.24,_
20260815_210015__0187__o,o,20260815_210015,52.8748,276.71,q
20260815_210015__0188__w,w,20260815_210015,53.0734,198.53,o
20260815_210015__0189__i,i,20260815_210015,53.2083,134.9,w
20260815_210015__0190__junk,junk,20260815_210015,53.3464,,
20260815_210015__0191__e,e,20260815_210015,53.4909,282.68,i
20260815_210015__0192__u,u,20260815_210015,53.6598,168.82,e
20260815_210015__0193__y,y,20260815_210015,53.9477,287.96,u
20260815_210015__0194__t,t,20260815_210015,54.208,260.34,y
20260815_210015__0195___,_,20260815_210015,54.5651,357.05,t
20260815_210015__0196__h,h,20260815_210015,55.2907,725.65,_
20260815_210015__0197__g,g,20260815_210015,55.4656,174.83,h
20260815_210015__0198__b,b,20260815_210015,55.6686,202.99,g
20260815_210015__0199__v,v,20260815_210015,55.8444,175.87,b
20260815_210015__0200__n,n,20260815_210015,56.0744,229.93,v
20260815_210015__0201__z,z,20260815_210015,56.3896,315.22,n
20260815_210015__0202__m,m,20260815_210015,56.5353,145.69,z
20260815_210015__0203__n,n,20260815_210015,56.8326,297.35,m
20260815_210015__0204__a,a,20260815_210015,56.9783,145.62,n
20260815_210015__0205__l,l,20260815_210015,57.3471,368.84,a
20260815_210015__0206__s,s,20260815_210015,57.4766,129.52,l
20260815_210015__0207__k,k,20260815_210015,57.6781,201.47,s
20260815_210015__0208__j,j,20260815_210015,57.9572,279.09,k
20260815_210015__0209__g,g,20260815_210015,58.1859,228.66,j
20260815_210015__0210__h,h,20260815_210015,58.3498,163.99,g
20260815_210015__0211__b,b,20260815_210015,58.5883,238.46,h
20260815_210015__0212__junk,junk,20260815_210015,58.801,,
20260815_210015__0213__junk,junk,20260815_210015,58.9998,,
20260815_210015__0214___,_,20260815_210015,59.1876,599.32,b
20260815_210015__0215__junk,junk,20260815_210015,59.3362,,
20260815_210015__0216__junk,junk,20260815_210015,59.5878,,
20260815_210015__0217__n,n,20260815_210015,60.1346,947.01,_
20260815_210015__0218__b,b,20260815_210015,60.6305,495.92,n
20260815_210015__0219__v,v,20260815_210015,60.809,178.48,b
20260815_210015__0220___,_,20260815_210015,61.0385,229.46,v
20260815_210015__0221__m,m,20260815_210015,61.4657,427.23,_
20260815_210015__0222__a,a,20260815_210015,61.6232,157.53,m
20260815_210015__0223__l,l,20260815_210015,61.846,222.77,a
20260815_210015__0224__s,s,20260815_210015,62.0404,194.42,l
20260815_210015__0225__k,k,20260815_210015,62.2663,225.92,s
20260815_210015__0226__j,j,20260815_210015,62.5118,245.44,k
20260815_210015__0227__h,h,20260815_210015,62.729,217.17,j
20260815_210015__0228__g,g,20260815_210015,62.9612,232.24,h
20260815_210015__0229__b,b,20260815_210015,63.1967,235.53,g
20260815_210015__0230__v,v,20260815_210015,63.477,280.25,b
20260815_210015__0231___,_,20260815_210015,63.7329,255.96,v
20260815_210015__0232__junk,junk,20260815_210015,64.2387,,
20260815_210015__0233__junk,junk,20260815_210015,64.5685,,
20260815_210015__0234__1,1,20260815_210015,64.998,1265.1,_
20260815_210015__0235__0,0,20260815_210015,65.2512,253.17,1
20260815_210015__0236__2,2,20260815_210015,65.4481,196.89,0
20260815_210015__0237__9,9,20260815_210015,65.6701,222,2
20260815_210015__0238__9,9,20260815_210015,65.9053,235.17,9
20260815_210015__0239__7,7,20260815_210015,66.1572,251.9,9
20260815_210015__0240___,_,20260815_210015,66.3544,197.26,7
20260815_210015__0241__6,6,20260815_210015,66.5731,218.64,_
20260815_210015__0242__4,4,20260815_210015,66.8872,314.13,6
20260815_210015__0243__7,7,20260815_210015,67.1062,218.98,4
20260815_210015__0244__8,8,20260815_210015,67.413,306.78,7
20260815_210015__0245__5,5,20260815_210015,67.6402,227.21,8
20260815_210015__0246___,_,20260815_210015,67.8812,241.02,5
20260815_210015__0247___,_,20260815_210015,68.4155,534.31,_
20260815_210015__0248__8,8,20260815_210015,68.6704,254.85,_
20260815_210015__0249___,_,20260815_210015,68.8754,205.06,8
20260815_210015__0250___,_,20260815_210015,69.1289,253.51,_
20260815_210015__0251__8,8,20260815_210015,69.3567,227.73,_
20260815_210015__0252___,_,20260815_210015,69.5779,221.25,8
20260815_210015__0253__h,h,20260815_210015,69.8263,248.37,_
20260815_210015__0254__j,j,20260815_210015,70.1773,350.98,h
20260815_210015__0255__d,d,20260815_210015,70.406,228.73,j
20260815_210015__0256__h,h,20260815_210015,70.6601,254.1,d
20260815_210015__0257___,_,20260815_210015,70.8846,224.51,h
20260815_210015__0258__n,n,20260815_210015,71.1642,279.61,_
20260815_210015__0259__b,b,20260815_210015,71.3332,168.98,n
20260815_210015__0260__m,m,20260815_210015,71.6693,336.05,b
20260815_210015__0261__junk,junk,20260815_210015,71.8153,,
20260815_210015__0262__n,n,20260815_210015,71.9514,282.13,m
20260815_210015__0263__b,b,20260815_210015,72.3887,437.35,n
20260815_210015__0264__x,x,20260815_210015,72.5888,200.05,b
20260815_210015__0265__v,v,20260815_210015,72.8311,242.34,x
20260815_210015__0266__v,v,20260815_210015,73.0915,260.41,v
20260815_210015__0267___,_,20260815_210015,73.3021,210.61,v
20260815_210015__0268__n,n,20260815_210015,73.5656,263.47,_
20260815_210015__0269__n,n,20260815_210015,74.3787,813.11,n
20260815_210015__0270__b,b,20260815_210015,74.6309,252.18,n
20260815_210015__0271__v,v,20260815_210015,74.861,230.16,b
20260815_210015__0272___,_,20260815_210015,75.0931,232.04,v
20260815_210015__0273__m,m,20260815_210015,75.716,622.9,_
20260815_210015__0274__x,x,20260815_210015,75.9729,256.96,m
20260815_210015__0275__n,n,20260815_210015,76.1746,201.7,x
20260815_210015__0276__b,b,20260815_210015,76.3876,212.93,n
20260815_210015__0277__v,v,20260815_210015,76.6205,232.9,b
20260815_210015__0278___,_,20260815_210015,76.823,202.49,v
20260815_210015__0279__l,l,20260815_210015,77.4633,640.32,_
20260815_210015__0280__s,s,20260815_210015,77.6602,196.89,l
20260815_210015__0281__k,k,20260815_210015,77.9203,260.16,s
20260815_210015__0282__j,j,20260815_210015,78.1573,236.98,k
20260815_210015__0283__h,h,20260815_210015,78.388,230.68,j
20260815_210015__0284__g,g,20260815_210015,78.5707,182.7,h
20260815_210015__0285__b,b,20260815_210015,78.8059,235.15,g
20260815_210015__0286__n,n,20260815_210015,79.3614,555.56,b
20260815_210015__0287__s,s,20260815_210015,79.5515,190.09,n
20260815_210015__0288___,_,20260815_210015,79.9799,428.41,s
20260815_210015__0289__m,m,20260815_210015,80.6226,642.65,_
20260815_210015__0290__m,m,20260815_210015,81.4151,792.54,m
20260815_210015__0291__n,n,20260815_210015,81.7997,384.56,m
20260815_210015__0292__b,b,20260815_210015,82.0729,273.2,n
20260815_210015__0293__v,v,20260815_210015,82.3099,237.05,b
20260815_210015__0294__c,c,20260815_210015,82.5168,206.94,v
20260815_210015__0295___,_,20260815_210015,82.7203,203.47,c
20260815_210015__0296__p,p,20260815_210015,83.3802,659.91,_
20260815_210015__0297__w,w,20260815_210015,83.5599,179.64,p
20260815_210015__0298__o,o,20260815_210015,83.7253,165.46,w
20260815_210015__0299__i,i,20260815_210015,83.9688,243.49,o
20260815_210015__0300__u,u,20260815_210015,84.1961,227.32,i
20260815_210015__0301__h,h,20260815_210015,84.6551,458.96,u
20260815_210015__0302__g,g,20260815_210015,84.9205,265.42,h
20260815_210015__0303__l,l,20260815_210015,85.6741,753.56,g
20260815_210015__0304__s,s,20260815_210015,85.8742,200.16,l
20260815_210015__0305__k,k,20260815_210015,86.0979,223.63,s
20260815_210015__0306__j,j,20260815_210015,86.3319,234.04,k
20260815_210015__0307__n,n,20260815_210015,86.5379,205.96,j
20260815_210015__0308__b,b,20260815_210015,86.7265,188.62,n
20260815_210015__0309___,_,20260815_210015,87.0374,310.88,b
20260815_210015__0310__n,n,20260815_210015,87.5144,476.98,_
20260815_210015__0311__b,b,20260815_210015,87.9872,472.83,n
20260815_210015__0312___,_,20260815_210015,88.2472,260,b
20260815_210015__0313__c,c,20260815_210015,88.5241,276.96,_
20260815_210015__0314__b,b,20260815_210015,88.7262,202.02,c
20260815_210015__0315__n,n,20260815_210015,89.0188,292.59,b
20260815_210015__0316__junk,junk,20260815_210015,89.2836,,
20260815_210015__0317__m,m,20260815_210015,89.4427,423.9,n
20260815_210015__0318__x,x,20260815_210015,89.5725,129.82,m
20260815_210015__0319__junk,junk,20260815_210015,89.7033,,
20260815_210015__0320__l,l,20260815_210015,89.8578,285.37,x
20260815_210015__0321__a,a,20260815_210015,90.0182,160.36,l
20260815_210015__0322__k,k,20260815_210015,90.1829,164.72,a
20260815_210015__0323__s,s,20260815_210015,90.3837,200.82,k
20260815_210015__0324__j,j,20260815_210015,90.5764,192.68,s
20260815_210015__0325__h,h,20260815_210015,90.8007,224.24,j
20260815_210015__0326__g,g,20260815_210015,91.0091,208.48,h
20260815_210015__0327__b,b,20260815_210015,91.1836,174.42,g
20260815_210015__0328___,_,20260815_210015,91.6713,487.73,b
20260815_210015__0329__m,m,20260815_210015,92.0284,357.12,_
20260815_210015__0330__s,s,20260815_210015,92.6149,586.46,m
20260815_210015__0331__e,e,20260815_210015,93.2177,602.81,s
20260815_210015__0332__o,o,20260815_210015,93.3642,146.53,e
20260815_210015__0333__i,i,20260815_210015,93.7524,388.21,o
20260815_210015__0334__1,1,20260815_210015,94.6077,855.28,i
20260815_210015__0335__0,0,20260815_210015,94.7915,183.81,1
20260815_210015__0336__2,2,20260815_210015,94.9952,203.67,0
20260815_210015__0337__9,9,20260815_210015,95.2238,228.62,2
20260815_210015__0338__8,8,20260815_210015,95.4804,256.62,9
20260815_210015__0339__7,7,20260815_210015,95.6894,208.96,8
20260815_210015__0340__6,6,20260815_210015,95.9217,232.36,7
20260815_210015__0341__5,5,20260815_210015,96.1218,200.02,6
20260815_210015__0342__t,t,20260815_210015,96.3516,229.8,5
20260815_210015__0343__y,y,20260815_210015,96.5899,238.34,t
20260815_210015__0344__q,q,20260815_210015,96.8191,229.16,y
20260815_210015__0345__u,u,20260815_210015,97.0497,230.63,q
20260815_210015__0346__w,w,20260815_210015,97.2712,221.5,u
20260815_210015__0347__i,i,20260815_210015,97.5574,286.19,w
20260815_210015__0348__o,o,20260815_210015,97.8616,304.24,i
20260815_210015__0349__p,p,20260815_210015,98.1461,284.42,o
20260815_210015__0350__o,o,20260815_210015,98.4192,273.13,p
20260815_210015__0351__i,i,20260815_210015,98.8246,405.46,o
20260815_210015__0352__u,u,20260815_210015,99.0267,202.06,i
20260815_210015__0353__h,h,20260815_210015,99.2752,248.48,u
20260815_210015__0354__g,g,20260815_210015,99.4652,190,h
20260815_210015__0355___,_,20260815_210015,99.6708,205.62,g
20260815_210015__0356__b,b,20260815_210015,99.9154,244.58,_
20260815_210015__0357__v,v,20260815_210015,100.1644,249.05,b
20260815_210015__0358__n,n,20260815_210015,100.4091,244.65,v
20260815_210015__0359__x,x,20260815_210015,101.0789,669.84,n
20260815_210015__0360__n,n,20260815_210015,101.2571,178.16,x
20260815_210015__0361__b,b,20260815_210015,101.4407,183.58,n
20260815_210015__0362__v,v,20260815_210015,101.594,153.31,b
20260815_210015__0363___,_,20260815_210015,101.7291,135.15,v
20260815_210015__0364__n,n,20260815_210015,101.9526,223.49,_
20260815_210015__0365__c,c,20260815_210015,102.3209,368.3,n
20260815_210015__0366__m,m,20260815_210015,102.4698,148.82,c
20260815_210015__0367__v,v,20260815_210015,102.6023,132.54,m
20260815_210015__0368__n,n,20260815_210015,102.7642,161.9,v
20260815_210015__0369__b,b,20260815_210015,103.007,242.77,n
20260815_210015__0370___,_,20260815_210015,103.2657,258.78,b
20260815_210015__0371__w,w,20260815_210015,103.4785,212.72,_
20260815_210015__0372__h,h,20260815_210015,103.745,266.58,w
20260815_210015__0373__e,e,20260815_210015,104.0434,298.37,h
20260815_210015__0374___,_,20260815_210015,104.706,662.59,e
20260815_210015__0375__n,n,20260815_210015,105.0357,329.73,_
20260815_210015__0376__b,b,20260815_210015,105.2201,184.38,n
20260815_210015__0377__m,m,20260815_210015,105.4989,278.84,b
20260815_210015__0378__n,n,20260815_210015,105.7699,270.95,m
20260815_210015__0379__z,z,20260815_210015,105.9351,165.19,n
20260815_210015__0380__b,b,20260815_210015,106.1749,239.82,z
20260815_210015__0381__v,v,20260815_210015,106.482,307.1,b
20260815_210015__0382__c,c,20260815_210015,106.699,217.01,v
20260815_210015__0383___,_,20260815_210015,106.9364,237.37,c
20260815_210015__0384__l,l,20260815_210015,107.6091,672.74,_
20260815_210015__0385__s,s,20260815_210015,107.8054,196.28,l
